T (K),P (Mpa),CH4,C2H6,C3H8,N2,CO2,i-C4H10,C5H12,C6H14
273.93,1.365,,,,,1,,,
274.56,1.472,,,,,1,,,
278.17,2.265,,,,,1,,,
280.03,2.86,,,,,1,,,
281.39,3.452,,,,,1,,,
281.9,3.722,,,,,1,,,
282.16,3.85,,,,,1,,,
