T (K),P (Mpa),CH4,C2H6,C3H8,N2,CO2,i-C4H10,C5H12,C6H14
285.63,55,,,,1,,,,
287.87,69,,,,1,,,,
289.47,78,,,,1,,,,
290.8,88,,,,1,,,,
291.96,101,,,,1,,,,
292.9,113,,,,1,,,,
294.6,127,,,,1,,,,
295.61,139,,,,1,,,,
296.62,152,,,,1,,,,
297.32,162,,,,1,,,,
297.86,169,,,,1,,,,
298.47,180,,,,1,,,,
299.31,195,,,,1,,,,
299.92,206,,,,1,,,,
300.49,219,,,,1,,,,
