T (K),P (MPa),Structure,Small Cage Occupancy,Large Cage Occupancy
278.09,1.4396718475653745,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
283.52,2.684337583945355,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
288.8,5.200523765508613,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
292.87,9.844900985369936,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
295.33,16.532485959221283,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
296.59,21.85717205185488,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
297.53,26.479747706127174,II,"[0.9372750926926264, 9.518595456582428e-40]","[0.36117261393651195, 0.6264608743331644]"
