T (K),P (Mpa),CH4,C2H6,C3H8,N2,CO2,i-C4H10,C5H12,C6H14
190.15,0.08251,1,,,,,,,
198.15,0.1314,1,,,,,,,
208.15,0.2219,1,,,,,,,
218.15,0.3571,1,,,,,,,
243.15,0.995,1,,,,,,,
262.4,1.798,1,,,,,,,
278.1,4.05,1,,,,,,,
283.8,7.41,1,,,,,,,
289.4,14.32,1,,,,,,,
292.8,23.11,1,,,,,,,
294.7,29.85,1,,,,,,,
297.3,42.22,1,,,,,,,
298.6,48.79,1,,,,,,,
299.3,54.71,1,,,,,,,
300.6,62.76,1,,,,,,,
301.9,71.43,1,,,,,,,
302.1,72.85,1,,,,,,,
